========================================================================
  pKa GPR Calibration Report
  DFT method: r2SCAN-3c / CPCM(Water) + GFN2-xTB RRHO
========================================================================

  Model: Gaussian Process Regression
  Feature mode:  full
  Features:      ['δpKa_calc', 'q_acid', 'ΔE_CPCM', 'ΔBO_XC', 'ΔBO_ring', 'q_CHELPG_site']

  Training points:  214 total
    Full descriptors: 214
    Partial only:     1

  Kernel amplitude:  2.8885 pKa
  Noise level:       0.5364 pKa
  Length scales:     ['0.997', '1.629', '0.557', '0.656', '0.968', '6.630']

  LOO RMSE:  1.3975 pKa units
  LOO MAE:   0.8766 pKa units

  Physical interpretation of descriptors:
    δpKa_calc     ls=0.997  ACTIVE                        DFT deprotonation energy (charge-state centred); primary driver
    q_acid        ls=1.629  ACTIVE                        Born solvation q² baseline; separates charge-state families
    ΔE_CPCM       ls=0.557  ACTIVE                        
    ΔBO_XC        ls=0.656  ACTIVE                        
    ΔBO_ring      ls=0.968  ACTIVE                        
    q_CHELPG_site  ls=6.630  ACTIVE                        

  Active features: 6/6 (length scale < 9.5; wall-bound features ls→10.0 are negligible)

────────────────────────────────────────────────────────────────────────
  Training data with predictions:

              Compound                  Step    q   pKa_calc   pKa_exp   pKa_pred      σ      err
  ────────────────────────────────────────────────────────────────────────────────────
  2_4_6_trimethylpyridine  CollidineH→Collidine   +1     207.22     7.430      7.629  0.905   +0.199
     2_4_dinitrophenol     2_4_DNP→2_4_DNP_a   +0     203.90     3.960      4.265  0.980   +0.305
    2_6_dimethylphenol  2_6_DiMePh→2_6_DiMeP   +0     219.04    10.620     10.552  1.048   -0.068
  2_6_dimethylpyridine    LutidineH→Lutidine   +1     205.89     6.720      7.440  0.864   +0.720
  2_6_dinitrobenzoic_acid    2_6_DNBA→2_6_DNBA_   +0     200.77     1.140      1.207  0.972   +0.067
     2_6_dinitrophenol     2_6_DNP→2_6_DNP_a   +0     203.40     3.710      3.822  1.006   +0.112
       2_aminopyridine  2AminoPyri→2AminoPyr   +1     204.66     6.710      6.950  0.919   +0.240
  2_chlorobenzoic_acid  2ClBenzoic→2ClBenzoa   +0     205.46     2.890      3.136  0.946   +0.246
      2_chloropyridine  2ClPyridin→2ClPyridi   +1     196.38     0.720      0.743  1.050   +0.023
     2_methylimidazole  2MeImidazo→2MeImidaz   +1     204.78     7.860      6.889  0.809   -0.971
         2_nitrophenol  2NitroPhen→2NitroPhe   +0     210.67     7.220      7.374  0.947   +0.154
    3_4_dimethylphenol  3_4_DiMePh→3_4_DiMeP   +0     217.62    10.360     10.293  0.867   -0.067
  3_5_dinitrobenzoic_acid    3_5_DNBA→3_5_DNBA_   +0     203.13     2.820      3.140  0.929   +0.320
     3_5_dinitrophenol     3_5_DNP→3_5_DNP_a   +0     208.05     6.690      6.614  0.998   -0.076
      3_chloropyridine  3ClPyridin→3ClPyridi   +1     198.77     2.840      3.102  1.032   +0.262
  3_mercaptopropionic_acid  3MPA_anion→3MPA_dian   -1     217.07    10.840     10.641  1.022   -0.199
        3_nitroaniline  3NitroAnil→3NitroAni   +1     194.38     2.470      2.501  0.994   +0.031
         3_nitrophenol  3NitroPhen→3NitroPhe   +0     212.16     8.360      8.630  0.886   +0.270
   4_aminobenzoic_acid    PABA_cat→PABA_zwit   +1     205.56     2.410      2.442  0.980   +0.032
   4_aminobenzoic_acid   PABA_zwit→PABA_anio   +0     198.94     4.870      4.892  1.035   +0.022
       4_aminopyridine  4AminoPyri→4AminoPyr   +1     208.09     9.110      8.513  0.986   -0.597
       4_chloroaniline  4ClAnilini→4ClAnilin   +1     197.01     3.980      3.712  0.907   -0.268
        4_chlorophenol   4ClPhenol→4ClPhenox   +0     214.67     9.380      9.293  0.850   -0.087
    4_chlorothiophenol  4ClThiophe→4ClThioph   +0     207.66     6.130      6.133  0.884   +0.003
   4_cyanobenzoic_acid  4CNBenzoic→4CNBenzoa   +0     205.79     3.550      4.145  0.798   +0.595
         4_cyanophenol   4CNPhenol→4CNPhenox   +0     210.01     7.950      8.222  0.893   +0.272
     4_cyanothiophenol  4CNThiophe→4CNThioph   +0     204.88     5.700      5.527  0.937   -0.173
        4_fluorophenol    4FPhenol→4FPhenoxi   +0     215.96     9.890      9.902  0.826   +0.012
  4_hydroxybenzoic_acid    H2ParaHBA→HParaHBA   +0     209.35     4.540      4.803  0.807   +0.263
  4_hydroxybenzoic_acid    HParaHBA→ParaHBA_d   -1     216.04     9.460      9.525  1.045   +0.065
